id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price,milage_per_year,milage_bins,horse_power
25085,Ford,Expedition Platinum,2018,59338,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,White,None reported,40500,9889.0,Medium,400.0
53385,Lincoln,MKS EcoBoost,2016,38100,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,White,None reported,17999,4762.0,Low,365.0
34769,Chevrolet,Tahoe LTZ,2015,102200,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Red,None reported,31500,11355.0,High,355.0
22787,Porsche,Panamera S,2023,3000,Gasoline,325.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,44800,3000.0,Low,325.0
3408,RAM,2500 Tradesman,2018,52000,Gasoline,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Black,None reported,50000,8666.0,Medium,350.0
20406,RAM,1500 Big Horn,2015,140500,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Gray,None reported,14000,15611.0,High,395.0
3194,BMW,428 i xDrive SULEV,2015,87501,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,21495,9722.0,Medium,240.0
10905,Audi,A6 3.0 TDI Premium Plus,2015,198868,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,17500,22096.0,High,240.0
27158,Mazda,Mazda3 i Touring,2011,118500,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,At least 1 accident or damage reported,17599,9115.0,High,155.0
51262,BMW,335 i,2012,106000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,12500,8833.0,High,300.0
24813,BMW,M5 Base,2011,103000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,43000,7923.0,High,600.0
40906,Maserati,Levante GTS,2021,19513,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Red / Black,At least 1 accident or damage reported,84645,6504.0,Low,
35584,Ford,Focus SE,2016,85000,E85 Flex Fuel,160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,21000,10625.0,Medium,160.0
19549,Chevrolet,Camaro 1LT,2011,104000,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,8300,8000.0,High,312.0
40977,Cadillac,XTS Luxury,2019,54002,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,30000,10800.0,Medium,304.0
