id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price,Horse_power
6692,Porsche,Cayenne Base,2011,112000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,At least 1 accident or damage reported,11500,300.0
32611,Lexus,GX 460 Base,2018,52100,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Black,None reported,38000,301.0
35027,Lincoln,MKZ Reserve I,2016,80124,Gasoline,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,39995,245.0
34849,Lexus,GX 460 Base,2017,52675,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,37950,301.0
18692,Dodge,Ram 1500 ST,2010,132000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,8500,210.0
13057,Mercedes-Benz,GL-Class GL 450 4MATIC,2011,90400,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,15599,335.0
50780,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,39000,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,49999,362.0
36513,Kia,Telluride SX,2023,5500,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Green,None reported,54900,291.0
30391,MINI,Clubman Cooper S ALL4,2017,79950,Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,30499,189.0
33894,Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,46102,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed Automatic,Selenite Grey Metallic,Black,None reported,43860,577.0
32440,Land,Rover Range Rover Evoque SE Premium,2019,74860,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,90000,246.0
8272,Jeep,Grand Cherokee L Laredo,2020,51247,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Black,None reported,44646,
19902,BMW,X5 xDrive50i,2019,77000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,43000,445.0
29510,Chevrolet,Corvette Stingray w/3LT,2021,10500,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,72900,490.0
46457,BMW,M340 i xDrive,2023,5338,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Red,None reported,66400,382.0
281,Jaguar,F-TYPE R,2020,16002,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,74900,550.0
40346,Lexus,RX 350 Base,2017,119000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,20500,295.0
24804,Mercedes-Benz,C-Class C 300 4MATIC Sport,2014,60000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,22000,248.0
3694,Mercedes-Benz,E-Class E 350 4MATIC,2014,84450,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,31000,302.0
22593,Mazda,CX-5 Grand Touring,2017,91877,Gasoline,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,17000,273.0
38196,Mercedes-Benz,AMG GT R,2020,45000,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,145000,577.0
22291,BMW,M240 i xDrive,2022,10000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,66000,335.0
26978,Subaru,Outback Limited,2015,42125,Gasoline,2.4L H4 16V GDI DOHC Turbo,Automatic CVT,Crystal Black Silica,Black,At least 1 accident or damage reported,6348,
49517,Chevrolet,Corvette Stingray w/3LT,2023,9000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,85500,490.0
26744,Porsche,Panamera Turbo,2018,64000,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Brown,None reported,65000,520.0
45586,Porsche,Boxster Base,2011,68000,Gasoline,265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,16600,265.0
52200,Porsche,911 GT3,2021,13692,Gasoline,4.0L H6 24V GDI DOHC,7-Speed Automatic with Auto-Shift,Python Green,Gray,None reported,279950,
29601,Jaguar,F-TYPE R,2018,25000,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,55000,550.0
51401,Subaru,Impreza 2.0i Premium,2019,53900,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Beige,None reported,33900,152.0
