,id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
48333,48333,Lexus,IS 350 Base,2014,40570,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,Yes,26900
18759,18759,Ford,Mustang GT Premium,2012,105500,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,19500
34374,34374,GMC,Acadia SLE-2,2016,100795,Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,White Frost Tri-Coat,Ebony,At least 1 accident or damage reported,Yes,26095
2459,2459,GMC,Acadia Denali,2019,47907,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Ebony Twilight Metallic,Jet Black,None reported,Yes,36750
52309,52309,Chevrolet,Cruze LT,2012,122000,Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,11400
33011,33011,Jeep,Wrangler Unlimited Rubicon,2012,80000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,Yes,30000
49188,49188,BMW,M5 Base,2016,7500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,140000
10224,10224,Land,Rover Range Rover Velar P380 S,2018,46000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,62900
51356,51356,Lincoln,MKZ Reserve I,2016,125000,Gasoline,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,27499
6192,6192,RAM,1500 Limited,2019,22000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,44800
42434,42434,Ford,F-150 Platinum,2018,85000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,31000
33731,33731,Acura,TLX V6 Advance,2016,80000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,18853
15353,15353,Lexus,LS 460 Base,2012,45000,Gasoline,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,16000
32582,32582,Mercedes-Benz,E-Class E 350 4MATIC,2016,81000,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,30000
52693,52693,Mazda,MX-5 Miata Grand Touring,2009,154860,Gasoline,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,6800
5417,5417,BMW,135 i,2012,67998,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,17900
42421,42421,Kia,Stinger GT1,2019,51984,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,45750
11033,11033,Genesis,G70 3.3T Advanced,2023,1160,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,99750
17312,17312,Lexus,IS 250 Base,2007,112600,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,11250
5220,5220,Genesis,G90 3.3T Premium,2019,64800,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,38900
30255,30255,Ford,F-250 XLT,2017,33000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Gray,None reported,Yes,57000
3488,3488,Audi,A6 2.0T Sport,2017,73350,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,26500
